teamMarket,Pos,HEIGHT,CLASS YR,jerseyNum,fullName,GS,GP,MP,ORB,TOV,STL,DRB,3PAr,3P%,extra_poss,extra_poss_per_40,3PAr %ile,3P% %ile,extra_poss_perc,extra_poss_per_40_perc,status,OBPR,OBPR_perct,DBPR,DBPR_perct,BPR,BPR_perct,Position,Role
LSU,G,73,Junior,11,Dedan Thomas Jr.,15,16,471.3,5,26,15,38,0.23757,0.30233,32,2.715892213,0.306,0.447,0.394,0.213,,5.2487266,0.983,0.83671894,0.701,6.08544554,0.958,1,1
Oklahoma,G,74,Junior,1,Xzayvier Brown,31,31,991.45,12,51,42,78,0.41322,0.36667,81,3.267940895,0.527,0.741,0.697,0.278,,4.1838527,0.956,0.77712643,0.686,4.96097913,0.926,1.60943784,2.141344322
Georgia,G,71,Junior,4,Marcus Millender,6,31,802.36,20,54,28,64,0.53309,0.4,58,2.891470163,0.691,0.849,0.568,0.233,,5.8094975,0.99,0.47205962,0.614,6.28155712,0.962,1.365578055,1.340964353
Oklahoma,G,78,Senior,3,Jeff Nwankwo,0,24,273.52,7,10,11,49,0.66234,0.23529,57,8.335770693,0.826,0.257,0.561,0.838,,0.28703959,0.468,0.30987092,0.562,0.59691051,0.516,3.309925296,5
Oklahoma,G,74,Sophomore,7,Dayton Forsythe,0,25,430.06,8,25,15,27,0.44248,0.32,25,2.325256941,0.564,0.52,0.345,0.174,,1.9393473,0.767,-0.085408995,0.451,1.853938305,0.684,1.600170398,3.238720846
Vanderbilt,G,72,Sophomore,3,Tyler Tanner,31,31,1021.01,11,63,76,98,0.34848,0.37681,122,4.779581003,0.438,0.78,0.859,0.478,,5.9190894,0.992,3.6079727,0.988,9.5270621,0.996,1.135958277,1.00221219
Mississippi St.,G,74,Sophomore,1,Dellquan Warren,0,19,145.21,1,15,8,6,0.625,0.2,0,0,0.794,0.191,0.022,0.022,,,,,,,,#N/A,#N/A
Ole Miss,G,77,Sophomore,8,Eduardo Klafke,12,30,448.14,19,15,20,57,0.42708,0.41463,81,7.229883519,0.543,0.89,0.697,0.756,,2.3495588,0.821,1.0641522,0.756,3.413711,0.832,2.850539243,2.642713871
Ole Miss,G,73,Senior,22,Max Smith,1,10,26.92,0,1,1,2,1,0.2,2,2.971768202,0.965,0.191,0.113,0.243,,,,,,,,#N/A,#N/A
Ole Miss,G,77,Freshman,31,Zach Day,0,20,154.07,8,3,6,19,0.84375,0.18519,30,7.788667489,0.944,0.185,0.379,0.802,,,,,,,,#N/A,#N/A
Kentucky,G,80,Freshman,3,Kam Williams,7,19,378.53,16,12,11,32,0.70408,0.34783,47,4.966581249,0.865,0.66,0.497,0.5,,2.66483,0.855,2.7099984,0.959,5.3748284,0.941,2.872346675,3.539150135
Georgia,G,73,Sophomore,5,Jeremiah Wilkinson,21,29,743.91,12,40,48,49,0.52785,0.35678,69,3.710126225,0.685,0.698,0.633,0.336,,4.3505121,0.962,0.32514316,0.569,4.67565526,0.911,1.708214248,2.489216987
Florida,G,73,Junior,7,Urban Klavzar,0,31,658.4,8,28,12,37,0.76037,0.40606,29,1.761846902,0.901,0.872,0.374,0.127,,5.0034322,0.979,0.43175128,0.602,5.43518348,0.944,2.097571294,2.86188812
Florida,G,76,Sophomore,20,Isaiah Brown,0,29,363.99,25,12,10,47,0.3719,0.37778,70,7.692519025,0.468,0.784,0.638,0.795,,3.6674955,0.934,1.3324072,0.818,4.9999027,0.927,3.494623207,3.377219423
